timestamp, index, memory.total [MiB], memory.reserved [MiB], memory.free [MiB], memory.used [MiB]
2023/11/21 03:29:28.947, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:28.958, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:28.968, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:28.978, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:28.988, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:28.998, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.008, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.018, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.028, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.039, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.049, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.059, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.069, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.079, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.089, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.099, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.109, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.119, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.130, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.140, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.150, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.160, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.170, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.180, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.190, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.200, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.211, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.221, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.231, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.241, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.251, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.262, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.272, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.282, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.292, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.302, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.312, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.322, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.333, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.343, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.353, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.363, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.373, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.383, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.393, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.403, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.413, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.423, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.434, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.444, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.454, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.464, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.474, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.484, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.494, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.504, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.514, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.524, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.535, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.545, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.555, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.565, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.575, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.585, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.595, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.605, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.615, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.626, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.636, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.646, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.656, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.666, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.676, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.686, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.696, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.706, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.717, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.727, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.737, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.747, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.757, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.767, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.777, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.787, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.797, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.807, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.818, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.828, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.838, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.848, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.858, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.868, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.878, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.888, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.898, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.909, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.919, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.929, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.939, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.949, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.959, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.969, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.979, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:29.989, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.000, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.010, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.020, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.030, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.040, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.050, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.060, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.070, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.081, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.091, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.101, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.111, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.121, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.131, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.141, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.152, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.162, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.172, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.182, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.192, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.202, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.213, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.223, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.233, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.243, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.253, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.263, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.273, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.283, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.294, 0, 40960, 621, 3005, 37332
2023/11/21 03:29:30.304, 0, 40960, 621, 3005, 37332
